Data Type,Segments,Distance,Threshold,Segments Length,Accuracy,F1_Score,Precision,Recall
napierone,1,0,8.0,56,0.6530741267583373,0.5838073568448995,0.9768401015228426,0.4163061114115738
napierone,1,0,8.0,64,0.6334755808440019,0.5471587580550673,0.9845397048489107,0.37885343428880475
napierone,1,0,8.0,72,0.6095305832147937,0.5006568974229408,0.9911964785914366,0.33491076257436453
napierone,1,0,8.0,80,0.4394657815710447,0.08204995470428368,0.9577039274924471,0.04286100594916171
napierone,1,0,8.0,88,0.42555713608345186,0.03581376840429766,0.9440559440559441,0.018253109789075177
napierone,1,0,8.0,96,0.4190769717085507,0.012360607282009942,0.9787234042553191,0.006219578150351541
napierone,1,0,8.0,104,0.4165481270744429,0.0035092455122148736,1.0,0.0017577068685776095
napierone,1,0,8.0,112,0.41583688952110004,0.001081081081081081,1.0,0.0005408328826392645
napierone,1,0,8.0,120,0.41552078394183656,nan,nan,0.0
napierone,1,0,8.0,128,0.41552078394183656,nan,nan,0.0
napierone,1,0,8.0,136,0.41552078394183656,nan,nan,0.0
napierone,1,0,8.0,144,0.41552078394183656,nan,nan,0.0
napierone,1,0,8.0,152,0.41552078394183656,nan,nan,0.0
napierone,1,0,8.0,160,0.41552078394183656,nan,nan,0.0
napierone,1,0,8.0,168,0.41552078394183656,nan,nan,0.0
napierone,1,0,8.0,176,0.41552078394183656,nan,nan,0.0
napierone,1,0,8.0,184,0.41552078394183656,nan,nan,0.0
napierone,1,0,8.0,192,0.41552078394183656,nan,nan,0.0
napierone,1,0,8.0,200,0.41552078394183656,nan,nan,0.0
napierone,1,0,8.0,208,0.41552078394183656,nan,nan,0.0
napierone,1,0,8.0,216,0.41552078394183656,nan,nan,0.0
napierone,1,0,8.0,224,0.41552078394183656,nan,nan,0.0
napierone,1,0,8.0,232,0.41552078394183656,nan,nan,0.0
napierone,1,0,8.0,240,0.41552078394183656,nan,nan,0.0
napierone,1,0,8.0,248,0.41552078394183656,nan,nan,0.0
napierone,1,0,8.0,256,0.41552078394183656,nan,nan,0.0
napierone,1,0,9.0,8,0.4375691480954639,0.6011320966205235,0.5133531157270029,0.7251216873985938
napierone,1,0,9.0,16,0.5333491386122965,0.6446410302702053,0.5808480642012797,0.7241752298539751
napierone,1,0,9.0,24,0.5629840366682471,0.5570330022428709,0.683372641509434,0.47011898323418067
napierone,1,0,9.0,32,0.6321321321321322,0.5962355798421372,0.8315993225260102,0.46471065440778797
napierone,1,0,9.0,40,0.6680101153785364,0.6170115780836904,0.947103274559194,0.45754461871281776
napierone,1,0,9.0,48,0.6683262209577999,0.6125726945444475,0.9653767820773931,0.4486208761492699
napierone,1,0,9.0,56,0.6601865022917655,0.5963957199174019,0.9751381215469613,0.4295565170362358
napierone,1,0,9.0,64,0.6433538801959855,0.5654309099662975,0.9822683171629307,0.3969713358572201
napierone,1,0,9.0,72,0.6205152520941994,0.5224741447891805,0.987593984962406,0.3551919956733369
napierone,1,0,9.0,80,0.45139876718824085,0.11970580776058838,0.963265306122449,0.0638182801514332
napierone,1,0,9.0,88,0.4314050892998261,0.0551543007222587,0.958904109589041,0.028393726338561385
